"ID","InstitutionID","datasetName","catalogNumber","occurrenceRemarks","recordNumber","recordedBy","sex","otherCatalogNumbers","associatedTaxa","eventID","eventDate","year","month","day","verbatimEventDate","habitat","fieldNumber","fieldNotes","country","stateProvince","county","municipality","locationID","locality","verbatimLocality","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","verbatimCoordinates","verbatimLatitude","verbatimLongitude","substrate","aocr:verbatimScientificName","aocr:verbatimInstitution","decimalLatitude","decimalLongitude","identificationID","identifiedBy","dateIdentified","identificationRemarks","identificationQualifier","taxonID","typeStatus","scientificName","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","basisOfRecord","occurrenceID"
11,,"lichens of CALIFORNIA","01075769",,,"Wayne P. Armstrong",,,,ark:/21547/Fg2_10,"1991-12-20",,,,"20 Dec 1991","granitic boulders in middle intertidal (barnacle) zone",,,"USA","CALIFORNIA","San Diego",,ark:/21547/Fh2_10,,"Point Loma, tidepool area of Cabrillo Nat. Monument, on granitic boulders in middle intertidal (barnacle) zone.",,,,,,,,"Pyrenocollema halodytes (Nyl.) R. C. Harris","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_9,,,,,ark:/21547/Fi2_9,,"Pyrenocollema halodytes (Nyl.) R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_10
12,,"CALIFORNIA LICHENS","01075770",,"852","Lee Bonar",,,,ark:/21547/Fg2_11,"1932-12-21",,,,"21 August 1932","on Acmaea digitalis Eschsch. Host determined by A. R. Grant.",,,"USA","California","San Francisco County",,ark:/21547/Fh2_11,,"Land's End, San Francisco County",,,,,,,,"Arthopyrenia sublitoralis (Leight) Arn.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_10,,,,,ark:/21547/Fi2_10,,"Arthopyrenia sublitoralis (Leight) Arn.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_11
13,,"Cryptogams of Oregon","01075771",,"37723","William R. Buck",,,,ark:/21547/Fg2_12,"8/12/2000",,,,"12 August 2000","sea shore and coastal forest, on barnacles in Arago State Park",,,"U.S.A.","Oregon","Coos",,ark:/21547/Fh2_12,,"Along Cape Arago Hwy, from Cape Arago State Park (43°18'N, 124°13'W), through Shore Acres State Park (43°19.5'N, 124°22.5'W), to Sunset Bay State Park (43°20'N, 124°22'W), ca. 13 km SW of Coos Bay","0-30 m",,,"43°20'N, 124°22'W; 43°19.5'N, 124°22.5'W; 43°18'N, 124°13'W","43°18'N","124°13'W",,"Pyrenocollema halodytes (Nyl.) R. C. Harris","New York Botanical Garden","43.3","-124.217",ark:/21547/Fj2_11,,,,,ark:/21547/Fi2_11,,"Pyrenocollema halodytes (Nyl.) R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_12
14,,"LICHENS OF NIAGARA FALLS","01075773",,"16317","William R. Buck",,,,ark:/21547/Fg2_13,"1988-11-01",,,,"1 Nov 1988","oak-maple forest over limestone",,,"USA","NEW YORK","Niagara","NIAGARA FALLS",ark:/21547/Fh2_13,,"Goat Island State Park, Niagara Falls, Luna Isalnd",,,,,,,,"Pyrenocollema strontianense (Swinscow) R. C. Harris","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_12,,,,,ark:/21547/Fi2_12,,"Pyrenocollema strontianense (Swinscow) R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_13
15,,"PLANTS OF MICHIGAN","01075774",,,"William R. Buck",,,,ark:/21547/Fg2_14,"1974-07-18",,,,"18 July 1974","Submerged on calcareous rock",,,"USA","MICHIGAN","Presque Isle",,ark:/21547/Fh2_14,,"Ocqueoc Falls.",,,,"T35N, R3E, S22",,,,"Pyrenocollema tichothecioides (Arn.) Harris","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_13,,,,,ark:/21547/Fi2_13,,"Pyrenocollema tichothecioides (Arn.) Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_14
16,,,"01075775",,,"W. A. Weber",,,,ark:/21547/Fg2_15,"1991-05-10",,,,"10 May 1991","On low outcrops of fragmented shales of the Niobrara Formation",,,"USA","Colorado","Boulder",,ark:/21547/Fh2_15,,"North edge of City of Boulder, on City Open Space land, Lee Hill Road just west of Foothills Highway",,,,,,,,"PYRENOCOLLEMA TICHOTHECIOIDES (Arn.) Harris","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_14,,,,,ark:/21547/Fi2_14,,"PYRENOCOLLEMA TICHOTHECIOIDES (Arn.) Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_15
17,,"CRYPTOGAMS OF GEORGIA","01075776",,"27543","William R. Buck",,,,ark:/21547/Fg2_16,"1995-03-18",,,,"18 March 1995","Altamaha Grit sandstone flats.",,,"U.S.A.","GEORGIA","Washington",,ark:/21547/Fh2_16,,"ca. 3 mi N of Harrison alone County Road 206 (Peacock Road), near headwaters of Rocky Creek","ca. 140 m",,,"32°53'N, 82°44'W","32°53'N","82°44'W",,"Zwackhiomyces arenicola R. C. Harris","New York Botanical Garden","32.883","-82.733",ark:/21547/Fj2_15,,,,,ark:/21547/Fi2_15,,"Zwackhiomyces arenicola R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_16
18,,"CRYPTOGAMS OF GEORGIA","01075777",,"27570","William R. Buck",,,,ark:/21547/Fg2_17,"1995-03-18",,,,"18 March 1995","small Altamaha Gritt sandstone outcrop on slope.",,,"U.S.A.","GEORGIA","Johnson",,ark:/21547/Fh2_17,,"2 mi N of Adrian on Georgia Highway 15","ca. 80 m",,,"32°34'N, 82°35'W","32°34'N","82°35'W",,"Zwackhiomyces arenicola R. C. Harris","NEW YORK BOTANICAL GARDEN","32.567","-82.583",ark:/21547/Fj2_16,,,,,ark:/21547/Fi2_16,,"Zwackhiomyces arenicola R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_17
19,,"Lichens of New York","01075779",,"53568","Richard C. Harris",,,,ark:/21547/Fg2_18,"2007-05-18",,,,"18 May 2007","dolomite rock along lake shore and adjacent Thuja forest.",,,"U.S.A.","New York","Clinton","Town of Peru",ark:/21547/Fh2_18,,"Town of Peru, Valcour Island in Lake Champlain, Bluff Point",,,,"44°37'27""N, 73°25'50""W","44°37'27""N","73°25'50""W","Protoblastenia rupestris","Zwackhiomyces dispersus Korber) Triebel & Grube","New York Botanical Garden","44.624","-73.431",ark:/21547/Fj2_17,,,,,ark:/21547/Fi2_17,,"Zwackhiomyces dispersus Korber) Triebel & Grube",,,,,,,PreservedSpecimen,ark:/21547/Ff2_18
20,,"FUNGI OF MISSOURI","01075780",,"84151","C. M. Wetmore",,,,ark:/21547/Fg2_19,"2000-05-14",,,,"14 May 2000",,,,"USA","MISSOURI","Taney",,ark:/21547/Fh2_19,,"Mark Twain National Forest. Hercules Glades Wilderness Area. 1 mile WSW of Hercules Tower",,,,"36°40'51""N, 92°54'02""W","36°40'51""N","92°54'02""W","on thallus of Protoblasternia rupestris","Zwackhiomyces dispersus (Korber) Grube & Tribel","NEW YORK BOTANICAL GARDEN","36.681","-92.901",ark:/21547/Fj2_18,,,,,ark:/21547/Fi2_18,,"Zwackhiomyces dispersus (Korber) Grube & Tribel",,,,,,,PreservedSpecimen,ark:/21547/Ff2_19
21,,"Cryptogams of Oregon","01075781",,"37567","William R. Buck ",,,,ark:/21547/Fg2_20,"2000-08-10",,,,"10 August 2000","montane Abies-Tsuga forest.",,,"U.S.A.","Oregon","Wasco",,ark:/21547/Fh2_20,,"Mount Hood National Forest, Wapanita Pass near Mount Hood on US 26, Frog Lake Campground","ca. 1200 m",,,"45°13'30""N, 121°42'W","45°13'30""N","121°42'W",,"Arthopyrenia analepta (Ach.) Massal.","New York Botanical Garden","45.225","-121.7",ark:/21547/Fj2_19,,,,,ark:/21547/Fi2_19,,"Arthopyrenia analepta (Ach.) Massal.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_20
22,,"LICHENS OF BRITISH COLUMBIA","01075782",,"10762","I.M. Brodo",,,,ark:/21547/Fg2_21,"1967-07-01",,,,"1 July 1967","Rock outcrops and slopes near waterfall",,,,"BRITISH COLUMBIA",,,ark:/21547/Fh2_21,,"MORESBY ISLAND: Base of Moresby Mt. on the north side.",,,,"53° 02' N, 132° 06' W.","53°02'N","132°06'W",,"Arthopyrenia lapponina Anzi","NEW YORK BOTANICAL GARDEN","53.033","-132.1",ark:/21547/Fj2_20,"T. Foucard","1992",,,ark:/21547/Fi2_20,,"Arthopyrenia lapponina Anzi",,,,,,,PreservedSpecimen,ark:/21547/Ff2_21
23,,"Lichens of Alabama","01075785",,"53345","Richard C. Harris",,,,ark:/21547/Fg2_22,"2007-04-12",,,,"12 April 2007","hardwood bottom",,,"U.SA.","Alabama","Escambia",,ark:/21547/Fh2_22,,"Little River State Forest, W of SR 21, 1.7 mi N of Huxford at CR 30",,,,"31°14'50""N, 87°29'47""W","31°14'50""N","87°29'47""W","on Liriodendron","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","31.247","-87.496",ark:/21547/Fj2_21,,,,,ark:/21547/Fi2_21,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_22
24,,"Lichens of Alabama","01075786",,"53347","Richard C. Harris ",,,,ark:/21547/Fg2_23,"2007-04-12",,,,"12 April 2007","hardwood bottom",,,"U.S.A.","Alabama","Escambia",,ark:/21547/Fh2_23,,"Little River State Forest, W of SR 21, 1.7 mi N of Huxford at CR 30",,,,"31°14'50""N, 87°29'47""W","31°14'50""N","87°29'47""W","on Liriodendron","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","31.247","-87.496",ark:/21547/Fj2_22,,,,,ark:/21547/Fi2_22,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_23
25,,"Lichens of Georgia","01075787",,"38868","Richard C. Harris ",,,,ark:/21547/Fg2_24,"1996-09-19",,,,"19 September 1996","floodplain of Oconee River",,,"U.S.A.","Georgia","Greene",,ark:/21547/Fh2_24,,"Oconee National Forest, end of Forest Service Road 1202 off GA 15",,,,"33°41'N, 83°17'W","33°41'N","83°17'W","on Ilex?","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","33.683","-83.283",ark:/21547/Fj2_23,,,,,ark:/21547/Fi2_23,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_24
26,,"Cryptogams of Georgia","01075788",,"30565","William R. Buck ",,,,ark:/21547/Fg2_25,"1996-09-18",,,,"18 September 1996","extensive sandstone outcrops with mesic oak forest.",,,"U.S.A.","Georgia","Coffee",,ark:/21547/Fh2_25,,"Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 10 mi NE of Broxton","ca. 70 m",,,"31°44'N, 82°50'W","31°44'N","82°50'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","31.733","-82.833",ark:/21547/Fj2_24,,,,,ark:/21547/Fi2_24,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_25
27,,"Cryptogams of Georgia","01075789",,"30582","William R. Buck ",,,,ark:/21547/Fg2_26,"1996-09-18",,,,"18 September 1996","extensive sandstone outcrops with mesic oak forest",,,"U.S.A.","Georgia","Coffee",,ark:/21547/Fh2_26,,"Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 10 mi NE of Broxton","ca. 70 m",,,"31°44'N, 82°50'W","31°44'N","82°50'W","on Cyrilla","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","31.733","-82.833",ark:/21547/Fj2_25,,,,,ark:/21547/Fi2_25,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_26
28,,"LICHENS OF LOUISIANA","01075790",,"18396","Shirley C. Tucker",,,,ark:/21547/Fg2_27,"1979-03-16",,,,"March 16, 1979","oak twigs, common. On downed hardwoods (oaks, Cornus flor Ida,Liquid- ambar styraciflua mostly) in pine forest on uplands",,,"USA","LOUISIANA","East Feliciana Parish",,ark:/21547/Fh2_27,,"Idlewild Experimental farm, 3 miles SE of Clinton",,,,"30°48'N, 90°45'W","30°48'N","90°45'W",,"Arthopyrenia cinchonae (Ach.) Müll.Arg.","NEW YORK BOTANICAL GARDEN","30.8","-90.75",ark:/21547/Fj2_26,,,,,ark:/21547/Fi2_26,,"Arthopyrenia cinchonae (Ach.) Müll.Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_27
29,,"LICHENS OF LOUISIANA","01075791",,"935","A. B. Langlois",,,,ark:/21547/Fg2_28,"1894-06-19",,,,"19.VI.1894","on Diospyros",,,"USA","LOUISIANA","St. Martin",,ark:/21547/Fh2_28,,"Bankers",,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_27,,,,,ark:/21547/Fi2_27,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_28
30,,"LICHENS OF LOUISIANA","01075792",,"24894","Clifford M. Wetmore",,,,ark:/21547/Fg2_29,"1976-05-29",,,,"29 May 1976",,,,"USA","LOUISIANA","East Baton Rouge Parish",,ark:/21547/Fh2_29,,"Four miles E of Baton Rouge in mixed hardwood forest in Centurion Development being cleared for housing",,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_28,,,,,ark:/21547/Fi2_28,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_29
31,,"PLANTS OF MISSISSIPPI","01075794",,"1071","G. T. Johnson",,,,ark:/21547/Fg2_30,"1953-01-02",,,,"January 2, 1953",,,,"USA","MISSISSIPPI","Oktibbeha",,ark:/21547/Fh2_30,,"In draw, along U.S. Highway #82. Eight mi. east of Stark- ville",,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_29,,,,,ark:/21547/Fi2_29,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_30
32,,"PLANTS OF MISSISSIPPI","01075795",,"1066A","G. T. Johnson",,,,ark:/21547/Fg2_31,"1953-01-02",,,,"January 2, 1953",,,,"USA","MISSISSIPPI","Oktibbeha",,ark:/21547/Fh2_31,,"In draw, along U.S. Highway #82. Eight mi. east of Stark- ville",,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_30,,,,,ark:/21547/Fi2_30,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_31
33,,"Cryptogams of North Carolina","01075797",,"41895","William R. Buck",,,,ark:/21547/Fg2_32,"2002-06-15",,,,"15 June 2002","mixed hardwoods on coastal plain",,,"U.S.A.","North Carolina","Bladen",,ark:/21547/Fh2_32,,"S of NC 41 along N shore of Bay Tree Lake",,,,"34°41'18""N, 78°24'36""W","34°41'18""N","78°24'36""W","on trunk of Itea","Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","34.688","-78.41",ark:/21547/Fj2_31,,,,,ark:/21547/Fi2_31,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_32
34,,"LICHENS OF NORTH CAROLINA","01075798",,"31023","Richard C. Harris",,,,ark:/21547/Fg2_33,"1993-09-29",,,,"29 September 1993","maritime forest with pine and mixed hardwoods",,,"USA","NORTH CAROLINA","Dare",,ark:/21547/Fh2_33,,"Nags Head Woods Ecological Preserve, in Kill Devil Hills along Old Nags Head Woods Road","ca. 15 m",,,"35°58'N, 75°06'W","35°58'N","75°06'W","on Ilex","Ciferriolichen cinchonae (Ach.)","New York Botanical Garden","35.967","-75.1",ark:/21547/Fj2_32,,,,,ark:/21547/Fi2_32,,"Ciferriolichen cinchonae (Ach.)",,,,,,,PreservedSpecimen,ark:/21547/Ff2_33
35,,"LICHENS OF SOUTH CAROLINA","01075802",,"1857","H. W. Ravenel",,,,ark:/21547/Fg2_34,,,,,,,,,"USA","SOUTH CAROLINA",,,ark:/21547/Fh2_34,,"Santee Canal",,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_33,,,,,ark:/21547/Fi2_33,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_34
36,,"Lichens from the Tuckerman Herbarium","01075803",,,"H.W.Ravenel ",,,,ark:/21547/Fg2_35,"1857",,,,"1857",,,,"USA","South Carolina",,,ark:/21547/Fh2_35,,"Santee Canal",,,,,,,,"Polyblastiopsis lactea(Mass.)A.Zahlbr.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_34,"E.Tuckerman",,,,ark:/21547/Fi2_34,,"Polyblastiopsis lactea(Mass.)A.Zahlbr.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_35
37,,,,,,,,,,ark:/21547/Fg2_35,,,,,,,,,,,,,ark:/21547/Fh2_35,,,,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,ark:/21547/Fj2_35,"Richard C. Harris","1986",,,ark:/21547/Fi2_35,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_35
38,,"Lichens from the Tuckerrnan Herbarium","01075805",,,"H.W.Ravenel",,,,ark:/21547/Fg2_36,"1857",,,,"1857",,,,"USA","S.C.",,,ark:/21547/Fh2_36,,"Santee Canal, S.C.",,,,,,,,"Err:509","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_36,"E. Tuckerman","1857",,,ark:/21547/Fi2_36,,"Polyblastiopsis lactea(Mass.)A.Zahlbr.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_36
39,,,,,,,,,,ark:/21547/Fg2_36,,,,,,,,,,,,,ark:/21547/Fh2_36,,,,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,ark:/21547/Fj2_37,"Richard C. Harris","1995",,,ark:/21547/Fi2_37,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_36
40,,"LICHENS OF TENNESSEE","01075806",,"s.n.","G. T. Johnson",,,,ark:/21547/Fg2_37,"1960-09-04",,,,"4 Sep 1960",,,,"USA","TENNESSEE","Anderson",,ark:/21547/Fh2_37,,"5 mi NW of Oliver Springs.",,,,,,,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_38,,,,,ark:/21547/Fi2_38,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_37
41,,"Cryptogams of Florida","1075812",,"31001","William R. Buck",,,,ark:/21547/Fg2_38,"1996-11-26",,,,"26 November 1996","Taxodium-hardwood stand surrounded by oak scrub.",,,"U.S.A.","Florida","Baker",,ark:/21547/Fh2_38,,"Along C.R. 127 at Moccasin Creek, ca. 2 mi NNW of FL 2 at Baxter",,,,"30°32'N, 82°15'W","30°32'N","82°15'W",,"Arthopyrenia cinchonae (Ach.) Müll. Arg.","New York Botanical Garden","30.533","-82.25",ark:/21547/Fj2_39,,,,,ark:/21547/Fi2_39,,"Arthopyrenia cinchonae (Ach.) Müll. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_38
42,,"LICHENS OF FLORIDA","01075813",,"2898-B","Richard C. Harris",,,,ark:/21547/Fg2_39,"1967-05-15",,,,"15 May 1967",,,,"USA","FLORIDA","Dade",,ark:/21547/Fh2_39,,"Everglades National Park, dry pinelands southwest of Pineland Trail Area.",,,,,,,,"Arthopyrenia cinchonae (Ach.) Muell. Arg.","NEW YORK BOTANICAL GARDEN",,,ark:/21547/Fj2_40,,,,,ark:/21547/Fi2_40,,"Arthopyrenia cinchonae (Ach.) Muell. Arg.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_39
